分类: 💰NEWTV, 名称: NewTV明星大片, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 2621 ms, 最高速率: 2.00 M/s, 平均速率: 2.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 兵器科技, 有效: 3, IPv4: 5, IPv6: 0, 最小延迟: 487 ms, 最高速率: 9.54 M/s, 平均速率: 3.69 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰NEWTV, 名称: NewTV怡伴健康, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 1886 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰NEWTV, 名称: NewTV精品纪录, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 22 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰NEWTV, 名称: NewTV军事评论, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 2815 ms, 最高速率: 1.76 M/s, 平均速率: 1.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰NEWTV, 名称: NewTV农业致富, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 2713 ms, 最高速率: 2.02 M/s, 平均速率: 2.02 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰NEWTV, 名称: NewTV金牌综艺, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰NEWTV, 名称: NewTV爱情喜剧, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 2548 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰NEWTV, 名称: NewTV中国功夫, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 22 ms, 最高速率: 0.04 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰NEWTV, 名称: NewTV精品大剧, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 5838 ms, 最高速率: 0.87 M/s, 平均速率: 0.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰NEWTV, 名称: NewTV精品体育, 有效: 1, IPv4: 3, IPv6: 0, 最小延迟: 2045 ms, 最高速率: 1.95 M/s, 平均速率: 1.95 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
